Country,Pollution,Population Density,GDP per Capita,Food Insecurity,"Travel (Arrival, Tourism)",Health Access,Cases,Recovered,Deaths,Literacy Rate
Cuba,21.2367242811561,106.549325626204,20473.30811712618,32.90984848484849,1086000.0,83.0,1113662.0,1105132.0,8530.0,1.0
Cyprus,13.508701890821,144.087662337662,36551.41796875,32.90984848484849,10000.0,81.0,691072.0,689630.0,1442.0,0.99
Denmark,9.06983927345931,147.575925,68453.8769281145,7.1,15595000.0,82.0,3435018.0,3425351.0,9667.0,0.85
Djibouti,35.9243304831101,49.0550474547023,3554.83918868372,49.2,10000.0,44.0,15690.0,15501.0,189.0,0.85
Dominica,20.6672998234563,89.1013333333333,9832.99643050057,34.4,140000.0,49.0,16047.0,15973.0,74.0,0.85
Dominican Republic,19.8267440369685,233.012351959686,10717.6276712204,46.1,2748000.0,77.0,661103.0,656719.0,4384.0,0.95
Ecuador,16.6570210758922,71.7663754227734,6609.80408154957,36.9,10000.0,77.0,1076087.0,1040039.0,36048.0,0.94
El Salvador,20.0287144500145,303.104198841699,5391.06926181338,46.9,707000.0,78.0,201865.0,197635.0,4230.0,0.9
Equatorial Guinea,35.3790521811967,64.297504456328,6677.793435386,32.90984848484849,10000.0,46.0,17130.0,16947.0,183.0,0.95
Eritrea,32.3515206386852,28.1677432992466,20473.30811712618,32.90984848484849,10000.0,45.0,10189.0,10086.0,103.0,0.77
Estonia,6.14573290973003,31.5665808565411,30133.304450454,9.3,1695000.0,79.0,610366.0,607368.0,2998.0,1.0
Eswatini,18.7831211422857,70.8672674418605,3610.60879677551,55.9,345299.987792969,56.0,75191.0,73764.0,1427.0,0.89
Ethiopia,27.3053276470482,111.100003951899,1272.01628209211,59.0,518000.0,35.0,501167.0,493593.0,7574.0,0.52
European Union,11.8470048713667,112.05440196746,41422.7999680879,32.90984848484849,10000.0,35.0,185636059.0,184374689.0,1261370.0,0.85
Faroe Islands,23.410356664507074,39.3810218978102,71717.7042204698,32.90984848484849,10000.0,35.0,34658.0,34630.0,28.0,0.85
Fiji,12.4187981716598,50.3241379310345,5888.73668639357,29.2,168000.0,58.0,69047.0,68162.0,885.0,0.99
Finland,4.89518090216668,18.2798093224591,52925.6897638424,12.6,896000.0,86.0,1499712.0,1488246.0,11466.0,0.85
France,9.60038144780495,124.306720578862,44690.9345395117,7.9,117109000.0,85.0,38997490.0,38829399.0,168091.0,1.0
French Polynesia,23.410356664507074,80.7772976087583,20473.30811712618,32.90984848484849,89400.0015258789,35.0,79302.0,78652.0,650.0,0.85
Gabon,29.9548734558765,9.43356618931191,7802.83659565049,32.90984848484849,10000.0,49.0,49051.0,48744.0,307.0,0.86
Georgia,17.0438421058507,64.9515728331992,8283.66960242964,32.4,1513000.0,68.0,1862754.0,1845604.0,17150.0,1.0
Germany,10.2876894329414,239.861418021525,54343.2265084958,4.0,12449000.0,88.0,38437756.0,38262777.0,174979.0,1.0
Ghana,54.2427873097724,145.689425270181,2260.28741289427,42.4,10000.0,48.0,172003.0,170541.0,1462.0,0.8
Gibraltar,23.410356664507074,321.08254784361867,20473.30811712618,32.90984848484849,10000.0,35.0,20550.0,20437.0,113.0,0.85
