target_3_weeks_ahead
54.0
35.0
24.0
30.0
27.0
29.0
27.0
1.0
4.0
2.0
6.0
0.0
3.0
1.0
2.0
0.0
2.0
0.0
0.0
1.0
0.0
0.0
3.0
1.0
1.0
1.0
5.0
14.0
10.0
17.0
24.0
16.0
19.0
7.0
11.0
14.0
17.0
9.0
4.0
12.0
10.0
4.0
4.0
7.0
4.0
5.0
8.0
2.0
4.0
7.0
1.0
6.0
1.0
7.0
1.0
1.0
1.0
0.0
6.0
0.0
4.0
2.0
1.0
2.0
1.0
5.0
8.0
2.0
3.0
5.0
4.0
6.0
9.0
5.0
7.0
14.0
31.0
43.0
99.0
106.0
62.0
68.0
199.0
265.0
541.0
593.0
980.0
1196.0
1417.0
1312.0
1166.0
1030.0
732.0
599.0
512.0
637.0
573.0
501.0
615.0
599.0
608.0
702.0
782.0
713.0
812.0
834.0
799.0
837.0
821.0
777.0
628.0
575.0
426.0
356.0
198.0
103.0
98.0
127.0
56.0
49.0
63.0
94.0
82.0
97.0
91.0
92.0
86.0
147.0
159.0
305.0
461.0
607.0
992.0
1417.0
1713.0
2345.0
2673.0
3397.0
3152.0
2818.0
2144.0
1563.0
1461.0
860.0
616.0
338.0
283.0
299.0
201.0
156.0
177.0
165.0
129.0
158.0
141.0
146.0
111.0
110.0
125.0
117.0
133.0
130.0
110.0
113.0
146.0
122.0
119.0
143.0
103.0
97.0
94.0
84.0
112.0
93.0
95.0
107.0
92.0
120.0
105.0
143.0
169.0
253.0
320.0
421.0
406.0
499.0
820.0
927.0
1016.0
1304.0
1803.0
2090.0
2174.0
2047.0
2047.0
2079.0
1851.0
1514.0
1695.0
1669.0
1707.0
1604.0
1648.0
1507.0
1423.0
1163.0
1003.0
865.0
802.0
756.0
583.0
429.0
374.0
283.0
206.0
223.0
237.0
249.0
271.0
251.0
297.0
256.0
262.0
183.0
183.0
180.0
206.0
166.0
150.0
188.0
156.0
172.0
222.0
222.0
224.0
210.0
234.0
324.0
417.0
510.0
617.0
839.0
933.0
1553.0
2406.0
3478.0
4191.0
4938.0
4375.0
5272.0
6312.0
7935.0
6480.0
2486.0
